Speaker|Party|Speech ID|Gendered Terms
Georg Kippels|CDU/CSU|114|[Präsidentin] geehrte Frau Präsidentin Liebe Kolleginnen; [Kolleginnen] Präsidentin Liebe Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen Meine sehr; [Steigerung] und zur Steigerung des Erfolgs; [Kollegin] Vortrag Frau Kollegin massiv nachgearbeitet; [Privatkunden] sowohl die Privatkunden als auch; [Krankenhäuser] – Ärzteschaft Krankenhäuser und die; [Kollegin] Darstellung Frau Kollegin Im Schnitt; [Unternehmers] Interesse eines Unternehmers gerade in; [Mitarbeiter] Gesundheit der Mitarbeiter und damit
Vizepräsidentin Petra Pau||115|[Kollege] Kollege Kippels gestatten; [Kollegin] Bemerkung der Kollegin Ferschl
Georg Kippels|CDU/CSU|116|
Susanne Ferschl|DIE LINKE|117|[Präsidentin] Dank Frau Präsidentin – Vielen; [Kollege] Dank Herr Kollege Kippels dass
Georg Kippels|CDU/CSU|118|[Kollegin] Frau Kollegin Ferschl dazu; [Mitarbeiter] dass die Mitarbeiter die Maske; [Mitarbeiter] Bedürfnissen der Mitarbeiter Rechnung trägt; [Grundsicherungsempfänger] für die Grundsicherungsempfänger Es ist; [Kolleginnen] bemerkenswert liebe Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen der Linken
Vizepräsidentin Petra Pau||119|
Uwe Witt|AfD|120|[Präsidentin] Frau Präsidentin Verehrte Kollegen; [Kollegen] Präsidentin Verehrte Kollegen und Kolleginnen; [Kolleginnen] Kollegen und Kolleginnen Liebe Zuschauer; [Zuschauer] Kolleginnen Liebe Zuschauer Der uns; [Kolleginnen] Unverständnis unserer Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen der Linken; [Anfänger] „Sozialismus für Anfänger – Staatsformen; [Ministerpräsidentenrunde] in der Ministerpräsidentenrunde nicht durchsetzen; [Kollegen] Tragezeiten Werte Kollegen das betrifft; [Mitarbeitern] werfen Allen Mitarbeitern deren Präsenz; [Leistungsbezieher] Regelbedarfserhöhung für Leistungsbezieher in den; [Leistungsempfänger] ja alle Leistungsempfänger in den; [Grundsicherungsempfänger] Desinfektionsmittel für Grundsicherungsempfänger steht ebenfalls
Vizepräsidentin Petra Pau||121|[Kollegin] hat die Kollegin Sabine Dittmar
Sabine Dittmar|SPD|122|[Präsidentin] geehrte Frau Präsidentin Liebe Kolleginnen; [Kolleginnen] Präsidentin Liebe Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen Corona verbreitet; [Arzt] Arbeit beim Arzt am Arbeitsplatz; [Ministerpräsidentinnen] dass die Ministerpräsidentinnen und Ministerpräsidentenkonferenz; [Ministerpräsidentenkonferenz] Ministerpräsidentinnen und Ministerpräsidentenkonferenz hier nicht; [Ministerpräsidenten] des bayerischen Ministerpräsidenten gefolgt ist; [Mitbürger] Mitbürgerinnen und Mitbürger dürfen nicht; [Grundsicherungsempfänger] richtig dass Grundsicherungsempfänger analog zum; [Risikopatienten] bei den Risikopatienten nun auch; [Arbeitsminister] herzlich beim Arbeitsminister Hubertus Heil; [Bundesgesundheitsminister] mit dem Bundesgesundheitsminister Spahn gelungen; [Risikopatienten] präsentieren Für Risikopatienten haben wir; [Bundesbürger] Bundesbürgerinnen und Bundesbürger Darüber hinaus; [Ministerpräsidentenkonferenz] der letzten Ministerpräsidentenkonferenz vereinbart die; [Kollege] – der Kollege Kippels hat; [Risikopatienten] Masken an Risikopatienten und an; [Mitbürger] Mitbürgerinnen und Mitbürger schützen wir; [Kolleginnen] Deshalb verehrte Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen von der
Vizepräsidentin Petra Pau||123|[Kollegin] Kollegin Dittmar Sie; [Kolleginnen] Kosten Ihrer Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen
Sabine Dittmar|SPD|124|
